variable,value_or_code,label,operational_definition,notes
epistemic_mode,PS,Puzzle-solving in normal science,"Routine scientific work conducted within accepted paradigms, methods, assumptions, and evaluation criteria",
epistemic_mode,AE,Anomaly evaluation,"The assessment of unexpected findings, uncertain claims, or contested contributions to determine their credibility, significance, and relation to existing assumptions",
epistemic_mode,PE,Paradigm-shift exploration,"Exploratory work that searches for alternative concepts, frameworks, or research directions when existing assumptions may be insufficient",
alpha,0,None,No task decomposition or coordination structure,
alpha,1,Fixed and predefined,Fixed pipeline with predefined steps,
alpha,2,Dynamic,Dynamic planning with explicit human checkpoints,
alpha,3,Adaptive,"Adaptive replanning across agents and humans, including handoffs, repair, and revision",
gamma,0,None,No shared state or explicit task context,
gamma,1,Prompt-level,Prompt-level task instruction only,
gamma,2,Explicit shared state,"Explicit shared memory, workspace, or task state",
gamma,3,High visibility and maintained common ground,"Shared assumptions, evidence, uncertainty, constraints, and role model are visible and maintained",
omega,0,Final output only,Final output only,
omega,1,Visible traces,Logs or execution traces are available,
omega,2,Intermediate visibility,"Intermediate states, provenance, and decision paths are visible",
omega,3,Contestable and intervenable,"Humans can inspect, contest, intervene, and revise system actions or outputs",
