paper_id,title,authors,year,doi_or_url,source_database,screening_stage,included,exclusion_reason,notes,number_of_systems
P001,"Dolphin: Moving Towards Closed-loop Auto-research through Thinking, Practice, and Feedback",Yuan et al.,2025,https://aclanthology.org/2025.acl-long.1056/,,full_text,0,E4_Human_role_absent_or_incidental,human role confined/not discussed,
P002,The AI Scientist-v2: Workshop-Level Automated Scientific Discovery via Agentic Tree Search,Yamada et al.,2025, https://doi.org/10.48550/arXiv.2504.08066,,full_text,1,N/A,,1
P003,"Towards Scientific Discovery with Generative AI: Progress, Opportunities, and Challenges","Reddy, C. K. and Shojaee, P.",2025,https://doi.org/10.1609/aaai.v39i27.35084,,full_text,0,E3_No_concrete_system_or_evaluation,perspective/position paper,
P004,AI-Researcher: Autonomous Scientific Innovation,Tang et al.,2025,https://doi.org/10.48550/arXiv.2505.18705,,full_text,1,N/A,,1
P005,Scientific discovery in the age of artificial intelligence,Wang et al.,2023,https://doi.org/10.1038/s41586-023-06221-2,,full_text,0,E3_No_concrete_system_or_evaluation,perspective/position paper,
P006,From intention to implementation: automating biomedical research via LLMs,Luo et al.,2025,https://doi.org/10.1007/s11432-024-4485-0,,full_text,1,N/A,,1
P007,Towards end-to-end automation of AI research,Lu et al.,2026,https://doi.org/10.1038/s41586-026-10265-5,,full_text,1,N/A,,1
P008,LLM‐Based Agents for Tool Learning: A Survey,Xu et al.,2025,https://doi.org/10.1007/s41019-025-00296-9,,title_abstract,0,E1_Not_scientific_workflow,,
P009,Automated statistical model discovery with language models,Li et al.,2024,https://dl.acm.org/doi/10.5555/3692070.3693182,,full_text,0,E4_Human_role_absent_or_incidental,human contribution is only input/context supplied before automation,
P010,CodeScientist: End-to-End Semi-Automated Scientific Discovery with Code-based Experimentation,Jansen et al.,2025,https://aclanthology.org/2025.findings-acl.692/,,full_text,1,N/A,HITL,1
P011,Autonomous LLM-Driven Research — from Data to Human-Verifiable Research Papers,Ifargan et al.,2024,https://ai.nejm.org/doi/full/10.1056/AIoa2400555,,full_text,1,N/A,human intervention in copilot mode,1
P012,From AI for Science to Agentic Science: A Survey on Autonomous Scientific Discovery,Wei et al.,2025,https://doi.org/10.48550/arXiv.2508.14111,,full_text,0,E3_No_concrete_system_or_evaluation,survey,
P013,Exploring the role of large language models in the scientific method: from hypothesis to discovery,Zhang et al.,2025,https://doi.org/10.1038/s44387-025-00019-5,,full_text,0,E3_No_concrete_system_or_evaluation,perspective/position paper,
P014,Empowering Biomedical Discovery with AI Agents,Gao et al.,2024,https://doi.org/10.1016/j.cell.2024.09.022,,full_text,0,E3_No_concrete_system_or_evaluation,perspective/position paper,
P015,Curie: Toward Rigorous and Automated Scientific Experimentation with AI Agents,Kon et al.,2025,https://doi.org/10.48550/arXiv.2502.16069,,full_text,1,N/A,,1
